Securities Type;Sell/Buy;Issue Code;Issue Name;Order No;Order Time;Trading Date;Settlement Date;Order Quantity;Order Price;Executed Quantity;Execution Price;Fee;Trading Tax;Income Tax;Special Tax;Surtax;Media Type;Trading Amount;Net Settlement Amount;Currency
Stock;Buy;UZ7025770007;Kvarts AJ;466;13:01:07;04/08/2020;06/08/2020;70;2,999.90;70;2,999.90;2,099.93;0.00;0.00;0.00;0.00;HTS;209,993.00;212,092.93;UZS
Stock;Buy;UZ7028660007;Kapital sug'urta AJ;573;14:43:06;04/08/2020;06/08/2020;21,164;1.42;21,164;1.42;0.00;0.00;0.00;0.00;0.00;HTS;30,052.88;30,052.88;UZS
Stock;Buy;UZ701134K017;Hamkorbank ATB;186;12:31:28;09/09/2020;11/09/2020;10,000;70.00;10,000;70.00;7,000.00;0.00;0.00;0.00;0.00;HTS;700,000.00;707,000.00;UZS
Stock;Buy;UZ7038380000;Chilonzor buyum savdo kompleksi AJ;187;12:33:03;09/09/2020;11/09/2020;90,000;9.68;90,000;9.68;8,712.00;0.00;0.00;0.00;0.00;HTS;871,200.00;879,912.00;UZS
Stock;Buy;UZ7054570005;IPOTEKA-BANK ATIB;192;12:42:03;09/09/2020;11/09/2020;150,000;0.95;150,000;0.95;1,425.00;0.00;0.00;0.00;0.00;HTS;142,500.00;143,925.00;UZS
Stock;Buy;UZ7001560000;Agrobank ATB;311;12:54:36;11/09/2020;15/09/2020;112;799.00;112;799.00;1,838.88;0.00;0.00;0.00;0.00;HTS;89,488.00;91,326.88;UZS
Stock;Buy;UZ7029000005;Qizilqumsement AJ;314;12:57:15;11/09/2020;15/09/2020;400;2,350.00;400;2,350.00;9,400.00;0.00;0.00;0.00;0.00;HTS;940,000.00;949,400.00;UZS
Stock;Buy;UZ7037560008;O'zsanoatqurilishbank ATB;316;12:59:34;11/09/2020;15/09/2020;20,000;17.00;20,000;17.00;3,400.00;0.00;0.00;0.00;0.00;HTS;340,000.00;343,400.00;UZS
Stock;Buy;UZ7001560000;Agrobank ATB;347;13:51:42;11/09/2020;15/09/2020;118;800.00;118;800.00;0.00;0.00;0.00;0.00;0.00;HTS;94,400.00;94,400.00;UZS
Stock;Buy;UZ7029000005;Qizilqumsement AJ;207;11:52:16;15/09/2020;17/09/2020;100;2,100.00;100;2,100.00;2,100.00;0.00;0.00;0.00;0.00;HTS;210,000.00;212,100.00;UZS
Stock;Buy;UZ7025770007;Kvarts AJ;398;13:35:24;16/09/2020;18/09/2020;190;3,250.00;130;3,250.00;6,175.00;0.00;0.00;0.00;0.00;HTS;422,500.00;428,675.00;UZS
Stock;Buy;UZ7025770007;Kvarts AJ;398;13:35:24;16/09/2020;18/09/2020;190;3,250.00;60;3,250.00;0.00;0.00;0.00;0.00;0.00;HTS;195,000.00;195,000.00;UZS
Stock;Buy;UZ7029000005;Qizilqumsement AJ;399;13:36:33;16/09/2020;18/09/2020;300;1,900.00;300;1,900.00;5,700.00;0.00;0.00;0.00;0.00;HTS;570,000.00;575,700.00;UZS
